"ca","k","MAP","optwL","averA"
400,0.025,182.5,0.163197855,1.16591285802157
400,0.05,182.5,0.161641188,1.19983397865326
400,0.1,182.5,0.160097831,1.41378124561725
400,0.025,365,0.165534242,2.94978410511171
400,0.05,365,0.164226298,3.46449173712643
400,0.1,365,0.163188089,4.09439604535423
400,0.025,547.5,0.167047511,4.25577320325381
400,0.05,547.5,0.165807665,5.050699942215
400,0.1,547.5,0.164959158,5.89569665001136
400,0.025,730,0.16821922,5.26675778147116
400,0.05,730,0.167054064,6.2678639625631
400,0.1,730,0.16630955,7.2559742805667
400,0.025,912.5,0.169164774,6.06013472986124
400,0.05,912.5,0.168132238,7.24944286010973
400,0.1,912.5,0.167472873,8.32049102389849
400,0.025,1095,0.169938685,6.68660646606756
400,0.05,1095,0.169095992,8.05427487353179
400,0.1,1095,0.168541797,9.18629864947905
400,0.025,1277.5,0.170578827,7.18610810373222
400,0.05,1277.5,0.169964114,8.71625851078516
400,0.1,1277.5,0.169557979,9.90471300047364
400,0.025,1460,0.171113948,7.58941219693002
400,0.05,1460,0.170745813,9.26142296930352
400,0.1,1460,0.170537868,10.505258716124
400,0.025,1642.5,0.171566028,7.91948686864172
400,0.05,1642.5,0.171448596,9.71184863252357
400,0.1,1642.5,0.171484679,11.007597693705
400,0.025,1825,0.171951845,8.1932516292073
400,0.05,1825,0.172079972,10.086066915853
400,0.1,1825,0.172395862,11.4272641767129
400,0.025,2007.5,0.172284251,8.42317131544939
400,0.05,2007.5,0.17264741,10.3991808709334
400,0.1,2007.5,0.173267362,11.7776923632946
400,0.025,2190,0.172573162,8.61849685040868
400,0.05,2190,0.173158053,10.6632330188528
400,0.1,2190,0.174095557,12.0706191535357
400,0.025,2372.5,0.172826282,8.78617152449546
400,0.05,2372.5,0.173618474,10.8877182332342
400,0.1,2372.5,0.174877923,12.3160858656165
400,0.025,2555,0.173049673,8.93146919546224
400,0.05,2555,0.1740346,11.080091148388
400,0.1,2555,0.175613079,12.5224966426685
400,0.025,2737.5,0.173248137,9.05844887483151
400,0.05,2737.5,0.174411675,11.2462124051765
400,0.1,2737.5,0.176300658,12.6967721571049
400,0.025,2920,0.173425533,9.17027150494539
400,0.05,2920,0.174754305,11.3907076010701
400,0.1,2920,0.176941137,12.8445585740668
400,0.025,3102.5,0.173584965,9.26943095319727
400,0.05,3102.5,0.175066506,11.5172494572296
400,0.1,3102.5,0.177535656,12.9704453499442
400,0.025,3285,0.173728985,9.3579133139869
400,0.05,3285,0.175351781,11.6287732170592
400,0.1,3285,0.178085873,13.0781606539545
400,0.025,3467.5,0.173859682,9.43731968563559
400,0.05,3467.5,0.175613166,11.727643018362
400,0.1,3467.5,0.178593839,13.1707399608337
400,0.025,3650,0.173978797,9.5089516841383
400,0.05,3650,0.175853308,11.8157757909198
400,0.1,3650,0.179061869,13.2506608449851
